filepath,label
data\synth\sveb\sveb_0173.png,sveb
data\synth\sveb\sveb_0126.png,sveb
data\synth\normal\normal_0167.png,normal
data\synth\sveb\sveb_0024.png,sveb
data\synth\sveb\sveb_0066.png,sveb
data\synth\sveb\sveb_0174.png,sveb
data\synth\normal\normal_0161.png,normal
data\synth\normal\normal_0120.png,normal
data\synth\sveb\sveb_0159.png,sveb
data\synth\normal\normal_0113.png,normal
data\synth\normal\normal_0011.png,normal
data\synth\normal\normal_0021.png,normal
data\synth\normal\normal_0114.png,normal
data\synth\normal\normal_0151.png,normal
data\synth\normal\normal_0115.png,normal
data\synth\veb\veb_0131.png,veb
data\synth\veb\veb_0076.png,veb
data\synth\normal\normal_0067.png,normal
data\synth\normal\normal_0075.png,normal
data\synth\normal\normal_0057.png,normal
data\synth\sveb\sveb_0005.png,sveb
data\synth\sveb\sveb_0015.png,sveb
data\synth\sveb\sveb_0055.png,sveb
data\synth\sveb\sveb_0077.png,sveb
data\synth\veb\veb_0026.png,veb
data\synth\veb\veb_0003.png,veb
data\synth\veb\veb_0045.png,veb
data\synth\normal\normal_0105.png,normal
data\synth\normal\normal_0002.png,normal
data\synth\veb\veb_0054.png,veb
data\synth\normal\normal_0048.png,normal
data\synth\normal\normal_0160.png,normal
data\synth\veb\veb_0136.png,veb
data\synth\normal\normal_0051.png,normal
data\synth\sveb\sveb_0132.png,sveb
data\synth\veb\veb_0056.png,veb
data\synth\normal\normal_0111.png,normal
data\synth\veb\veb_0095.png,veb
data\synth\sveb\sveb_0004.png,sveb
data\synth\sveb\sveb_0031.png,sveb
data\synth\sveb\sveb_0056.png,sveb
data\synth\normal\normal_0095.png,normal
data\synth\sveb\sveb_0068.png,sveb
data\synth\veb\veb_0113.png,veb
data\synth\sveb\sveb_0185.png,sveb
data\synth\veb\veb_0066.png,veb
data\synth\sveb\sveb_0074.png,sveb
data\synth\normal\normal_0125.png,normal
data\synth\normal\normal_0045.png,normal
data\synth\normal\normal_0080.png,normal
data\synth\sveb\sveb_0020.png,sveb
data\synth\normal\normal_0079.png,normal
data\synth\sveb\sveb_0109.png,sveb
data\synth\normal\normal_0023.png,normal
data\synth\veb\veb_0067.png,veb
