filepath,label
data\synth\veb\veb_0022.png,veb
data\synth\normal\normal_0046.png,normal
data\synth\veb\veb_0135.png,veb
data\synth\normal\normal_0089.png,normal
data\synth\normal\normal_0171.png,normal
data\synth\sveb\sveb_0029.png,sveb
data\synth\sveb\sveb_0181.png,sveb
data\synth\veb\veb_0123.png,veb
data\synth\normal\normal_0025.png,normal
data\synth\veb\veb_0025.png,veb
data\synth\normal\normal_0164.png,normal
data\synth\veb\veb_0109.png,veb
data\synth\sveb\sveb_0162.png,sveb
data\synth\veb\veb_0030.png,veb
data\synth\normal\normal_0026.png,normal
data\synth\normal\normal_0183.png,normal
data\synth\sveb\sveb_0149.png,sveb
data\synth\sveb\sveb_0046.png,sveb
data\synth\normal\normal_0107.png,normal
data\synth\sveb\sveb_0034.png,sveb
data\synth\sveb\sveb_0112.png,sveb
data\synth\normal\normal_0154.png,normal
data\synth\sveb\sveb_0080.png,sveb
data\synth\veb\veb_0098.png,veb
data\synth\veb\veb_0124.png,veb
data\synth\veb\veb_0111.png,veb
data\synth\veb\veb_0077.png,veb
data\synth\normal\normal_0128.png,normal
data\synth\normal\normal_0195.png,normal
data\synth\sveb\sveb_0104.png,sveb
data\synth\sveb\sveb_0089.png,sveb
data\synth\normal\normal_0122.png,normal
data\synth\sveb\sveb_0076.png,sveb
data\synth\sveb\sveb_0057.png,sveb
data\synth\sveb\sveb_0067.png,sveb
data\synth\veb\veb_0120.png,veb
data\synth\sveb\sveb_0122.png,sveb
data\synth\sveb\sveb_0183.png,sveb
data\synth\sveb\sveb_0131.png,sveb
data\synth\normal\normal_0058.png,normal
data\synth\veb\veb_0134.png,veb
data\synth\sveb\sveb_0138.png,sveb
data\synth\sveb\sveb_0026.png,sveb
data\synth\normal\normal_0108.png,normal
data\synth\normal\normal_0126.png,normal
data\synth\veb\veb_0093.png,veb
data\synth\veb\veb_0117.png,veb
data\synth\normal\normal_0074.png,normal
data\synth\sveb\sveb_0062.png,sveb
data\synth\veb\veb_0139.png,veb
data\synth\normal\normal_0100.png,normal
data\synth\veb\veb_0138.png,veb
data\synth\veb\veb_0015.png,veb
data\synth\veb\veb_0091.png,veb
data\synth\sveb\sveb_0030.png,sveb
data\synth\normal\normal_0001.png,normal
data\synth\sveb\sveb_0170.png,sveb
data\synth\veb\veb_0018.png,veb
data\synth\veb\veb_0129.png,veb
data\synth\veb\veb_0078.png,veb
data\synth\veb\veb_0070.png,veb
data\synth\veb\veb_0014.png,veb
data\synth\sveb\sveb_0092.png,sveb
data\synth\sveb\sveb_0184.png,sveb
data\synth\veb\veb_0071.png,veb
data\synth\sveb\sveb_0110.png,sveb
data\synth\veb\veb_0023.png,veb
data\synth\sveb\sveb_0042.png,sveb
data\synth\normal\normal_0172.png,normal
data\synth\sveb\sveb_0028.png,sveb
data\synth\normal\normal_0177.png,normal
data\synth\normal\normal_0027.png,normal
data\synth\normal\normal_0186.png,normal
data\synth\normal\normal_0029.png,normal
data\synth\normal\normal_0189.png,normal
data\synth\sveb\sveb_0021.png,sveb
data\synth\sveb\sveb_0118.png,sveb
data\synth\veb\veb_0119.png,veb
data\synth\normal\normal_0191.png,normal
data\synth\normal\normal_0091.png,normal
data\synth\normal\normal_0146.png,normal
data\synth\veb\veb_0085.png,veb
data\synth\veb\veb_0049.png,veb
data\synth\sveb\sveb_0049.png,sveb
data\synth\normal\normal_0155.png,normal
data\synth\sveb\sveb_0094.png,sveb
data\synth\sveb\sveb_0197.png,sveb
data\synth\sveb\sveb_0041.png,sveb
data\synth\sveb\sveb_0012.png,sveb
data\synth\normal\normal_0093.png,normal
data\synth\veb\veb_0137.png,veb
data\synth\normal\normal_0178.png,normal
data\synth\normal\normal_0165.png,normal
data\synth\veb\veb_0004.png,veb
data\synth\sveb\sveb_0033.png,sveb
data\synth\normal\normal_0085.png,normal
data\synth\normal\normal_0000.png,normal
data\synth\normal\normal_0049.png,normal
data\synth\sveb\sveb_0038.png,sveb
data\synth\normal\normal_0004.png,normal
data\synth\normal\normal_0196.png,normal
data\synth\normal\normal_0118.png,normal
data\synth\sveb\sveb_0188.png,sveb
data\synth\normal\normal_0121.png,normal
data\synth\veb\veb_0127.png,veb
data\synth\veb\veb_0007.png,veb
data\synth\normal\normal_0053.png,normal
data\synth\sveb\sveb_0022.png,sveb
data\synth\sveb\sveb_0169.png,sveb
data\synth\sveb\sveb_0142.png,sveb
data\synth\normal\normal_0030.png,normal
data\synth\sveb\sveb_0048.png,sveb
data\synth\sveb\sveb_0003.png,sveb
data\synth\normal\normal_0092.png,normal
data\synth\normal\normal_0083.png,normal
data\synth\sveb\sveb_0116.png,sveb
data\synth\sveb\sveb_0035.png,sveb
data\synth\sveb\sveb_0127.png,sveb
data\synth\sveb\sveb_0147.png,sveb
data\synth\normal\normal_0193.png,normal
data\synth\normal\normal_0119.png,normal
data\synth\sveb\sveb_0036.png,sveb
data\synth\sveb\sveb_0158.png,sveb
data\synth\veb\veb_0086.png,veb
data\synth\veb\veb_0118.png,veb
data\synth\normal\normal_0054.png,normal
data\synth\veb\veb_0031.png,veb
data\synth\normal\normal_0047.png,normal
data\synth\sveb\sveb_0139.png,sveb
data\synth\normal\normal_0038.png,normal
data\synth\normal\normal_0180.png,normal
data\synth\normal\normal_0072.png,normal
data\synth\normal\normal_0131.png,normal
data\synth\sveb\sveb_0111.png,sveb
data\synth\normal\normal_0050.png,normal
data\synth\normal\normal_0181.png,normal
data\synth\normal\normal_0103.png,normal
data\synth\veb\veb_0096.png,veb
data\synth\veb\veb_0033.png,veb
data\synth\sveb\sveb_0097.png,sveb
data\synth\normal\normal_0064.png,normal
data\synth\normal\normal_0066.png,normal
data\synth\normal\normal_0073.png,normal
data\synth\sveb\sveb_0168.png,sveb
data\synth\sveb\sveb_0156.png,sveb
data\synth\sveb\sveb_0119.png,sveb
data\synth\veb\veb_0002.png,veb
data\synth\normal\normal_0182.png,normal
data\synth\normal\normal_0152.png,normal
data\synth\veb\veb_0011.png,veb
data\synth\sveb\sveb_0198.png,sveb
data\synth\veb\veb_0013.png,veb
data\synth\sveb\sveb_0165.png,sveb
data\synth\sveb\sveb_0115.png,sveb
data\synth\normal\normal_0176.png,normal
data\synth\veb\veb_0010.png,veb
data\synth\normal\normal_0020.png,normal
data\synth\sveb\sveb_0186.png,sveb
data\synth\normal\normal_0140.png,normal
data\synth\sveb\sveb_0087.png,sveb
